idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
13977,100644,126207,6-3 6-2,R32,70,10,3,37,29,10,1,1,2,3,30,21,8,5,8,6,46
13978,104925,105357,6-3 6-2,F,69,6,0,30,26,10,0,0,1,0,29,16,13,1,4,1,80
13979,104925,105676,6-3 6-4,SF,89,7,0,39,34,10,4,4,7,1,39,29,12,4,6,1,15
13980,105357,124187,6-3 7-6(4),SF,88,5,0,43,37,15,2,2,13,4,38,27,14,4,5,80,53
13981,104925,106298,6-1 6-2,QF,50,8,0,22,18,13,1,2,0,2,23,11,3,1,6,1,24
13982,105676,111202,6-2 6-2,QF,54,8,0,30,27,6,0,0,6,0,31,17,5,2,6,15,143
13983,124187,106034,6-3 6-3,QF,78,16,2,34,28,9,0,0,7,4,32,24,12,7,10,53,136
13984,105357,106121,6-4 6-0,QF,79,4,1,32,21,9,1,3,2,1,43,19,6,6,12,80,127
13985,104925,104424,6-3 7-5,R16,94,10,2,36,29,11,3,4,3,1,45,27,15,8,12,1,133
13986,106298,106415,6-1 6-2,R16,49,6,1,27,23,9,0,0,1,2,26,13,4,1,5,24,77
13987,105676,133430,7-6(5) 7-6(2),R16,116,4,3,60,46,15,2,2,10,7,46,36,21,4,4,15,32
13988,111202,105227,6-4 3-6 6-1,R16,122,11,1,41,37,13,1,2,8,7,59,42,19,8,11,143,30
13989,124187,104468,7-6(4) 7-6(2),R16,115,19,2,63,49,12,3,4,3,4,59,43,11,3,4,53,50
13990,106034,105430,6-7(2) 6-3 6-4,R16,145,8,3,65,47,22,5,7,3,7,59,45,13,3,7,136,45
13991,105357,144750,6-3 6-2,R16,69,2,0,36,29,8,2,3,9,1,28,20,5,3,7,80,99
13992,106121,111442,6-4 7-6(3),R16,98,3,1,36,32,16,0,0,5,3,45,33,12,4,5,127,56
13993,104925,200615,6-4 6-2,R32,89,7,2,32,27,12,0,0,8,5,48,30,15,9,12,1,94
13994,104424,105526,4-6 7-6(4) 6-3,R32,135,7,4,47,40,24,3,4,12,2,42,35,29,2,4,133,37
13995,106415,105311,7-5 6-3,R32,86,3,0,51,37,8,2,3,3,2,41,29,7,6,9,77,62
13996,106298,128034,6-4 6-3,R32,74,4,1,35,29,13,1,1,3,4,39,28,9,6,8,24,36
13997,105676,105807,1-6 7-6(8) 6-0,R32,137,12,5,44,31,18,9,14,2,2,56,33,12,2,8,15,39
13998,133430,200175,6-4 6-4,R32,81,16,7,43,36,15,5,5,2,1,38,27,13,4,6,32,51
13999,111202,132283,3-6 6-3 6-4,R32,131,2,1,52,39,16,0,1,8,1,56,40,17,2,4,143,54
14000,105227,105216,6-4 6-4,R32,74,5,4,40,35,7,1,1,0,1,30,22,12,0,2,30,126
14001,124187,126203,6-3 6-4,R32,73,16,0,40,31,12,1,1,8,2,28,22,11,2,4,53,31
14002,104468,104665,6-4 6-0,R32,70,1,1,22,14,11,0,2,0,1,27,13,4,2,8,50,52
14003,105430,105936,6-3 7-5,R32,90,9,2,39,28,17,3,5,5,0,39,23,9,1,5,45,49
14004,106034,105332,6-2 6-2,R32,54,4,0,24,22,10,0,0,3,6,22,16,9,2,6,136,23
14005,144750,200282,6-3 6-7(6) 7-6(8),R32,181,18,3,85,62,23,2,2,2,4,68,47,30,1,2,99,25
14006,105357,105173,4-6 6-3 6-4,R32,126,6,1,57,43,18,4,5,6,1,55,41,14,2,4,80,43
14007,111442,106228,6-3 3-6 6-3,R32,117,10,1,54,41,17,9,11,3,3,47,32,18,7,10,56,59
14008,106121,106432,6-4 4-6 7-6(5),R32,159,7,6,60,48,19,4,6,15,2,58,47,20,4,6,127,14
14009,106421,100644,6-4 6-1,F,73,4,2,33,28,10,5,6,7,3,31,20,4,1,5,4,6
14010,106421,126774,7-6(5) 7-5,SF,96,6,1,43,36,16,4,5,9,3,49,40,11,1,3,4,7
14011,100644,126610,6-3 6-4,SF,67,11,1,38,34,6,0,0,2,0,26,20,14,3,5,6,13
14012,126774,104925,3-6 7-5 6-3,QF,122,11,3,59,49,11,0,1,8,2,64,45,16,5,7,7,1
14013,106421,104926,6-3 7-6(4),QF,86,12,2,46,42,7,0,0,3,5,41,31,12,3,4,4,12
14014,126610,106233,7-6(8) 6-4,QF,100,6,1,48,40,15,3,3,6,1,43,35,14,2,3,13,5
14015,100644,103819,6-3 6-7(7) 6-3,QF,124,17,1,70,54,12,1,3,3,0,59,38,19,4,8,6,3
14016,104925,104545,7-5 6-3,R16,74,9,3,41,36,8,0,0,9,0,48,28,11,0,2,1,17
